英文描述,中文描述,
"Hang from a pull-up bar with your arms fully extended and your palms facing away from you. Engage your core muscles and lift your knees towards your chest, bending at the hips and knees. Pause for a moment at the top of the movement, squeezing your abs. Slowly lower your legs back down to the starting position. Repeat for the desired number of repetitions.",双臂完全伸展，手掌朝向背向身体，悬挂在引体向上杆上。激活核心肌肉，抬膝向胸前，臀部和膝盖弯曲。动作顶端稍作停顿，收紧腹部。慢慢将双腿放回起始位置。重复至所需次数。,
"Stand with your feet shoulder-width apart and hold a barbell with an underhand grip, hands wider than shoulder-width apart. Keep your back straight and your elbows close to your torso. Exhale and curl the barbell up towards your shoulders, keeping your upper arms stationary. Pause for a moment at the top, squeezing your biceps. Inhale and slowly lower the barbell back to the starting position, fully extending your arms. Repeat for the desired number of repetitions.",双脚与肩同宽站立，双手张开大于肩宽，握杠铃时用下手握法。保持背部挺直，肘部靠近躯干。呼气，将杠铃向上弯曲，向肩膀方向弯曲，保持上臂保持静止。在顶部稍作停顿，收紧肱二头肌。吸气，缓慢将杠铃放回起始位置，双臂完全伸展。重复至所需次数。,
"Stand with your feet shoulder-width apart and hold the barbell with an overhand grip, slightly wider than shoulder-width. Lift the barbell to shoulder height, keeping your elbows slightly in front of the bar. Press the barbell overhead, extending your arms fully. Lower the barbell back to shoulder height and repeat for the desired number of repetitions.",双脚与肩同宽站立，用略宽于肩宽的上握握法握杠铃。将杠铃举至肩高，肘部略微位于杠铃前方。将杠铃按在头顶，双臂完全伸展。将杠铃降回肩高，重复至所需次数。,
"Attach a v-bar attachment to the cable machine at the highest setting. Stand facing the cable machine with your feet shoulder-width apart. Grasp the v-bar with an overhand grip, palms facing down, and your hands shoulder-width apart. Keep your elbows close to your sides and your upper arms stationary throughout the exercise. Engage your triceps and exhale as you push the v-bar down until your arms are fully extended. Pause for a moment at the bottom of the movement, squeezing your triceps. Inhale as you slowly return the v-bar to the starting position, maintaining control. Repeat for the desired number of repetitions.",在拉索机上安装V形杆附件，设置最高档位。站在拉索机前，双脚与肩同宽。用过握握法握住V型杆，手掌朝下，双手与肩同宽。整个动作过程中肘部靠近身体两侧，上臂保持静止。在将V型杆向下推时，收紧肱三头肌并呼气，直到手臂完全伸展。动作结束时暂停片刻，收紧肱三头肌。吸气时缓慢将V型杆恢复到起始位置，保持控制。重复至所需次数。,
"Lie flat on your back with your knees bent and feet flat on the ground. Place your hands behind your head with your elbows pointing outwards. Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is at a 45-degree angle. Pause for a moment at the top, then slowly lower your upper body back down to the starting position. Repeat for the desired number of repetitions.",平躺，膝盖弯曲，双脚平放在地上。双手放在头后，肘部朝外。用力腹部，缓慢抬起上半身离地，向前蜷曲直到躯干呈45度角。在顶端稍作停顿，然后慢慢将上半身放回起始位置。重复到所需的重复次数。,
"Sit on a bench or chair with your feet flat on the ground and your back straight. Hold a dumbbell in one hand with an underhand grip, resting your forearm on your thigh, palm facing up. Allow the dumbbell to roll down to your fingertips, then curl it back up by flexing your fingers. Repeat for the desired number of repetitions, then switch to the other hand.",坐在长椅或椅子上，双脚平放在地上，背部挺直。一只手握着哑铃，反手握法，前臂放在大腿上，手掌朝上。让哑铃滚到指尖，然后通过屈曲手指将哑铃卷回去。重复到所需的次数，然后换到另一只手。,
"Stand with your feet shoulder-width apart, holding a dumbbell in each hand with your palms facing your thighs. Keeping your arms straight, exhale and lift the dumbbells in front of you until they are at shoulder level. Pause for a moment at the top, then inhale and slowly lower the dumbbells back down to the starting position. Repeat for the desired number of repetitions.",双脚与肩同宽站立，双手各握一个哑铃，手掌朝向大腿。保持手臂伸直，呼气，将哑铃举起直到与肩平齐。在哑铃顶端稍作停顿，然后吸气，慢慢将哑铃放回起始位置。重复至所需次数。,
"Stand with your feet shoulder-width apart, holding a dumbbell in each hand with your palms facing your thighs. Keep your back straight and engage your core. Slowly lift the dumbbells in front of you, with your arms straight, until they are at shoulder level. Pause for a moment at the top, then slowly lower the dumbbells back down to the starting position. Repeat for the desired number of repetitions.",双脚与肩同宽站立，双手各握一个哑铃，手掌朝向大腿。保持背部挺直，核心发力。慢慢将哑铃举起，双臂伸直，直到与肩平。在顶端稍作停顿，然后慢慢将哑铃放回起始位置。重复至所需次数。,
"Stand with your feet shoulder-width apart, holding a dumbbell in each hand with your palms facing your body. Keep your back straight and engage your core. Raise your arms out to the sides, keeping a slight bend in your elbows, until they are parallel to the ground. Pause for a moment at the top, then slowly lower your arms back down to the starting position. Repeat for the desired number of repetitions.",双脚与肩同宽站立，双手各握一个哑铃，手掌朝向身体。保持背部挺直，核心发力。双臂向两侧举起，肘部保持轻微弯曲，直到与地面平行。在顶部稍作停顿，然后慢慢将手臂放下至起始位置。重复至所需次数。,
"Stand up straight with a dumbbell in each hand, palms facing your torso. Keep your elbows close to your torso and rotate the palms of your hands until they are facing forward. This will be your starting position. Now, while holding your upper arm stationary, exhale and curl the weights while contracting your biceps. Continue to raise the weights until your biceps are fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a brief pause as you squeeze your biceps. Then, inhale and slowly begin to lower the dumbbells back to the starting position. Repeat for the recommended amount of repetitions.",站直，双手各持一个哑铃，手掌朝向躯干。肘部靠近躯干，手掌旋转直到朝前。这将是你的起始位置。现在，保持上臂静止，呼气并弯曲哑铃，同时收紧肱二头肌。继续加重，直到肱二头肌完全收缩，哑铃与肩平。保持收缩姿势短暂停顿，同时收紧肱二头肌。然后，吸气，慢慢将哑铃放回起始位置。重复到推荐的重复次数。,
"Stand tall with your feet shoulder-width apart. Extend your arms straight out in front of you at shoulder height. Cross your arms in front of your body, with your right arm on top of your left arm. Interlace your fingers and press your palms together. Gently squeeze your shoulder blades together and push your hands forward, feeling a stretch in your chest and front of your shoulders. Hold the stretch for 20-30 seconds, then release. Repeat for the desired number of repetitions.",站直，双脚与肩同宽。双臂伸直，肩高。双臂交叉，右臂放在左臂上方。双手交叉，掌心合拢。轻轻挤压肩胛骨，向前推手，感受胸部和肩前的拉伸感。保持拉伸20-30秒，然后松开。重复到所需的次数。,
"Hang from a pull-up bar with your palms facing towards you and your hands shoulder-width apart. Engage your core and pull your body up towards the bar, leading with your chest. Continue pulling until your chin is above the bar. Pause for a moment at the top, then slowly lower your body back down to the starting position. Repeat for the desired number of repetitions.",悬挂在引体向上杆上，手掌朝向自己，双手与肩同宽。收紧核心，将身体拉向杠铃，胸部向前。继续拉直到下巴高于杠铃。在杠铃顶端稍作停顿，然后慢慢将身体放回起始位置。重复到所需的重复次数。,
"Start by kneeling on the ground with your knees hip-width apart and your toes pointing forward. Place a barbell across your shoulders, gripping it with an overhand grip and your hands slightly wider than shoulder-width apart. Engage your core and keep your chest lifted as you slowly lower your body down by bending your knees, keeping your back straight. Continue lowering until your thighs are parallel to the ground, or as low as you can comfortably go. Pause for a moment at the bottom, then push through your heels to return to the starting position. Repeat for the desired number of repetitions.",开始时跪在地上，膝盖与臀部同宽，脚趾朝前。将杠铃横跨肩膀，用上手握法握住，双手略宽于肩宽。收紧核心，保持胸部抬高，慢慢弯曲膝盖，保持背部挺直。继续放下，直到大腿与地面平行，或尽可能低。在底部稍作停顿，然后用脚跟蹬地回到起始位置。重复到所需的重复次数。,
"Stand with your feet shoulder-width apart, toes pointing forward. Place your hands on a wall or stable surface for balance. Slowly raise your heels off the ground, lifting your body weight onto the balls of your feet. Pause for a moment at the top, then slowly lower your heels back down to the starting position. Repeat for the desired number of repetitions.",双脚与肩同宽，脚趾朝前。把手放在墙上或稳固的表面以保持平衡。慢慢抬起脚跟，将身体重量抬到脚掌上。在顶端稍作停顿，然后慢慢将脚跟放回起始位置。重复到所需的重复次数。,
"Sit on an incline bench with a dumbbell in each hand, palms facing forward, and arms fully extended. Keeping your upper arms stationary, exhale and curl the weights while contracting your biceps. Continue to raise the dumbbells until your biceps are fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a brief pause as you squeeze your biceps. Inhale and slowly begin to lower the dumbbells back to the starting position. Repeat for the desired number of repetitions.",坐在斜坡凳上，双手各握一个哑铃，手掌朝前，双臂完全伸展。保持上臂静止，呼气并弯曲哑铃，同时收缩肱二头肌。继续抬起哑铃，直到肱二头肌完全收缩，哑铃与肩平。保持收缩姿势短暂停顿，同时收紧肱二头肌。吸气，慢慢将哑铃放回起始位置。重复到所需的重复次数。,
"Set up an incline bench at a 45-degree angle. Sit on the bench with your back against the pad and feet flat on the ground. Hold a dumbbell in each hand with an overhand grip, palms facing forward. Start with your arms fully extended, perpendicular to the ground. Lower the dumbbells slowly to the sides of your chest, keeping your elbows at a 90-degree angle. Pause for a moment at the bottom, then push the dumbbells back up to the starting position. Repeat for the desired number of repetitions.",设置一张倾斜的长凳，呈45度角。坐在长椅上，背靠着垫子，双脚平放在地上。双手各握一个哑铃，双手握法，手掌朝前。开始时，双臂完全伸展，垂直于地面。哑铃缓慢地放到胸部两侧，保持肘部与90度角。在底部稍作停顿，然后将哑铃推回起始位置。重复到所需的重复次数。,
"Sit on an incline bench with a dumbbell in each hand, palms facing forward and arms fully extended. Keeping your upper arms stationary, exhale and curl the weights while contracting your biceps. Continue to raise the dumbbells until your biceps are fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a brief pause as you squeeze your biceps. Inhale and slowly begin to lower the dumbbells back to the starting position. Repeat for the desired number of repetitions.",坐在斜凳上，双手各握一个哑铃，手掌朝前，双臂完全伸展。保持上臂静止，呼气并弯曲哑铃，同时收缩肱二头肌。继续抬起哑铃，直到肱二头肌完全收缩，哑铃与肩平。保持收缩姿势短暂停顿，同时收紧肱二头肌。吸气，慢慢将哑铃放回起始位置。重复到所需的重复次数。,
"Sit on an incline bench with a dumbbell in one hand, resting on your thigh. Lie back on the bench and position the dumbbell at shoulder level, palm facing forward. Press the dumbbell upward and slightly inward, extending your arm fully. Pause for a moment at the top, then slowly lower the dumbbell back to the starting position. Repeat for the desired number of repetitions, then switch to the other arm.",坐在斜坡凳上，一手拿着哑铃，哑铃放在大腿上。躺在长凳上，将哑铃放在肩膀高度，手掌朝前。将哑铃向上并略微向内按压，手臂完全伸展。在顶端稍作停顿，然后慢慢将哑铃放回起始位置。重复到所需次数，然后切换到另一只手臂。,
"Set an incline bench to a 45-degree angle and sit on it with a dumbbell in each hand, resting on your thighs. Lie back on the bench and position the dumbbells at shoulder level with your palms facing each other. Press the dumbbells up and away from your body until your arms are fully extended. Pause for a moment at the top, then slowly lower the dumbbells back down to the starting position. Repeat for the desired number of repetitions.",将一个倾斜的长凳摆成45度角，双手各握一个哑铃，坐在大腿上。躺在长凳上，将哑铃放在肩膀高度，双手相对。将哑铃向上并远离身体，直到手臂完全伸展。在顶端稍作停顿，然后慢慢将哑铃放回起始位置。重复到所需的重复次数。,
"Sit on an exercise ball with a dumbbell in each hand, palms facing each other. Walk your feet forward and roll your body down the ball until your head, neck, and upper back are supported on the ball. Hold the dumbbells at shoulder level, elbows bent and pointing out to the sides. Press the dumbbells up and slightly inward, keeping your palms facing each other. Extend your arms fully, squeezing your triceps at the top of the movement. Slowly lower the dumbbells back to the starting position. Repeat for the desired number of repetitions.",坐在健身球上，双手各拿一个哑铃，手掌相对。双脚向前走，身体沿球滚动，直到头部、颈部和上背部都被球支撑。哑铃保持在肩膀高度，肘部弯曲并指向两侧。哑铃向上并略微向内按压，保持手掌相对。双臂完全伸展，动作顶端收紧肱三头肌。慢慢把哑铃放回起始位置。重复到所需的重复次数。,
Sit down on the cable pulldown machine and grab the v-bar attachment with an overhand grip. Adjust the knee pad so that your thighs are secured under it. Keep your back straight and lean back slightly. Pull the v-bar down towards your upper chest while keeping your elbows close to your body. Squeeze your back muscles at the bottom of the movement. Slowly return the v-bar to the starting position and repeat for the desired number of repetitions.,坐在拉绳机上，用过手握法抓住V形杆连接件。调整膝盖，使大腿固定在下方。保持背部挺直，微微向后倾斜。将V形杆向下拉向上胸部，同时保持肘部靠近身体。动作底部收紧背部肌肉。慢慢将V形杆恢复到起始位置，重复到所需次数。,
"Sit on an exercise ball with a dumbbell in one hand. Walk your feet forward and roll your body down until your head, neck, and upper back are supported on the ball. Hold the dumbbell with your arm extended straight up over your chest, palm facing inwards. Slowly lower the dumbbell out to the side, keeping a slight bend in your elbow. Pause for a moment when your arm is parallel to the ground. Engage your chest muscles to bring the dumbbell back up to the starting position. Repeat for the desired number of repetitions, then switch arms.",一只手拿哑铃，坐在健身球上。双脚向前走，身体向下滚动，直到头部、颈部和上背部都被哑铃支撑。双臂伸直，手掌向内，握住哑铃。慢慢将哑铃放到一侧，肘部保持轻微弯曲。当手臂与地面平行时，暂停片刻。用力胸肌，将哑铃拉回起始位置。重复至所需次数，然后换臂。,
"Sit on an incline bench with a dumbbell in one hand, resting on your thigh. Lean back on the bench and use your thigh to help raise the dumbbell to shoulder height. Rotate your wrist so that your palm is facing inward, towards your body. Press the dumbbell up and away from your body, extending your arm fully. Pause for a moment at the top, then slowly lower the dumbbell back down to the starting position. Repeat for the desired number of repetitions, then switch arms.",坐在斜凳上，一只手拿哑铃，放在大腿上。靠在长凳上，用大腿帮助将哑铃抬到肩膀高度。旋转手腕，使手掌朝内，朝向身体。将哑铃向上并远离身体，手臂完全伸展。在顶端稍作停顿，然后慢慢将哑铃放回起始位置。重复到所需次数，然后换臂。,
"Sit on an exercise ball with a dumbbell in one hand. Walk your feet forward and roll your body down until your head, neck, and upper back are supported on the ball. Hold the dumbbell with your palm facing inward and your elbow bent at a 90-degree angle. Press the dumbbell up towards the ceiling, straightening your arm. Lower the dumbbell back down to the starting position. Repeat for the desired number of repetitions, then switch arms.",坐在健身球上，一手拿着哑铃。双脚向前走，身体向下滚动，直到头部、颈部和上背部都支撑在哑铃上。握哑铃时，手掌朝内，肘部弯曲成90度角。将哑铃向天花板方向按压，手臂伸直。将哑铃放回起始位置。重复至所需次数，然后换臂。,
"Sit on an incline bench with a dumbbell in each hand, resting on your thighs. Lean back on the bench and raise the dumbbells to shoulder height, palms facing forward. Keeping your back against the bench, exhale and raise the dumbbells above your head, fully extending your arms. Pause for a moment at the top, then inhale and slowly lower the dumbbells back to shoulder height. Repeat for the desired number of repetitions.",坐在斜凳上，双手各握一个哑铃，双手放在大腿上。向后靠在长凳上，将哑铃举到肩膀高度，手掌朝前。背靠长凳，呼气，将哑铃举过头顶，双臂完全伸展。在顶端稍作停顿，然后吸气，慢慢将哑铃降回肩膀高度。重复到所需的重复次数。,
"Set up an incline bench at a 45-degree angle. Sit on the bench with your chest against the backrest and hold a dumbbell in each hand. Extend your arms straight down with your palms facing each other. Keeping a slight bend in your elbows, raise your arms out to the sides until they are parallel to the ground. Pause for a moment at the top, then slowly lower your arms back down to the starting position. Repeat for the desired number of repetitions.",设置一个倾斜的长凳，呈45度角。坐在长凳上，胸部靠在椅背上，双手各握一个哑铃。双臂直伸，手掌相对。保持肘部微微弯曲，双臂向两侧举起，直到与地面平行。在顶部稍作停顿，然后慢慢将手臂放回起始位置。重复到所需的重复次数。,
"Set up an incline bench at a 45-degree angle. Grab a dumbbell in each hand and sit on the bench with your chest against the incline. Extend your arms fully, allowing the dumbbells to hang straight down from your shoulders. Pull the dumbbells up towards your chest, squeezing your shoulder blades together. Pause for a moment at the top, then slowly lower the dumbbells back to the starting position. Repeat for the desired number of repetitions.",将一个斜坡凳以45度角摆好。双手各拿一个哑铃，坐在长凳上，胸部贴着斜坡。双臂完全伸展，让哑铃从肩膀直下垂下。将哑铃拉向胸前，将肩胛骨紧紧挤压。在顶端稍作停顿，然后慢慢将哑铃放回起始位置。重复至所需次数。,
"Set an incline bench to a 45-degree angle and sit on it with a dumbbell in each hand, palms facing down. Rest the dumbbells on your thighs and lean back onto the bench. Use your thighs to help raise the dumbbells to shoulder height, then rotate your wrists so that your palms are facing forward. Exhale and slowly raise the dumbbells above your head, keeping a slight bend in your elbows. Pause for a moment at the top, then inhale and slowly lower the dumbbells back to shoulder height. Repeat for the desired number of repetitions.",将一个倾斜的长凳摆成45度角，双手各握一个哑铃，手掌朝下坐下。哑铃放在大腿上，身体向后靠在长凳上。用大腿帮助将哑铃抬到肩膀高度，然后旋转手腕，使手掌朝前。呼气，缓慢将哑铃抬高过头顶，保持肘部微微弯曲。在顶端稍作停顿，然后吸气，慢慢将哑铃降回肩膀高度。重复至所需次数。,
"Start by standing with your feet shoulder-width apart, holding a barbell across your upper back. Lower your body into a squat position by bending your knees and pushing your hips back. Explode upwards, jumping off the ground as high as you can. Land softly on your feet and immediately step back with one leg into a reverse lunge. Lower your body down until your front thigh is parallel to the ground, keeping your back straight. Push through your front heel to return to the starting position. Repeat the jump and lunge sequence on the other leg. Continue alternating legs for the desired number of repetitions.",先站立时双脚与肩同宽，将杠铃横跨上背部。通过弯曲膝盖并向后推臀部，将身体降低到深蹲姿势。向上爆炸，尽可能高地跳起。轻柔落地，立刻用一条腿后退，进入反向弓步。身体往下放，直到前大腿与地面平行，保持背部挺直。用前脚跟用力，回到起始位置。另一条腿重复跳跃和弓步的动作。继续交替做足，达到所需的重复次数。,
"Set an incline bench to a 45-degree angle and sit on it with a dumbbell in each hand, palms facing inwards. Lean forward and let your arms hang straight down, perpendicular to the floor. Keeping your arms straight, raise them out to the sides until they are parallel to the floor, forming a 'T' shape with your body. Pause for a moment at the top, then slowly lower your arms back down to the starting position. Repeat for the desired number of repetitions.",将一张倾斜的长凳摆成45度角，双手各握一个哑铃，手掌朝内。身体前倾，双臂垂直垂下，垂直于地面。保持手臂伸直，向两侧举起，直到与地面平行，与身体形成“T”字形。在顶部稍作停顿，然后慢慢将手臂放下回到起始位置。重复到所需的重复次数。,
"Sit on an incline bench with a dumbbell in each hand, palms facing inwards. Extend your arms fully overhead, keeping your elbows close to your head. Lower the dumbbells behind your head by bending your elbows, keeping your upper arms stationary. Pause for a moment, then raise the dumbbells back to the starting position by extending your arms. Repeat for the desired number of repetitions.",坐在斜凳上，双手各拿一个哑铃，手掌朝内。双臂完全伸展过头顶，肘部靠近头部。通过弯曲肘部，保持上臂不动，将哑铃放到头后方。暂停片刻，然后伸展双臂将哑铃抬回起始位置。重复到所需的重复次数。,
"Set an incline bench to a 45-degree angle and sit on it with a dumbbell in each hand, palms facing inwards. Lean forward slightly and let your arms hang straight down, keeping a slight bend in your elbows. Raise your arms out to the sides and up in a Y shape until they are parallel to the ground. Pause for a moment at the top, then slowly lower your arms back down to the starting position. Repeat for the desired number of repetitions.",将一张倾斜的长凳摆成45度角，双手各握一个哑铃，手掌朝内。微微前倾，手臂垂直，肘部保持微微弯曲。将手臂向两侧伸展，向上呈Y字形，直到与地面平行。在顶部稍作停顿，然后慢慢将手臂放下回到起始位置。重复到所需的重复次数。,
"Stand with your feet shoulder-width apart, holding a dumbbell in each hand. Take a step forward with your right foot, lowering your body into a lunge position. Keep your back straight and your chest up as you lower your body. Push through your right heel to return to the starting position. Repeat with your left leg. Alternate legs for the desired number of repetitions.",双脚与肩同宽站立，双手各握一个哑铃。右脚向前迈出一步，身体下沉进入弓步姿势。保持背部挺直，胸部抬起，身体下沉。用右脚跟用力，回到起始位置。左腿重复。根据需要的重复次数交替进行。,
"Lie flat on a bench with your feet flat on the ground and your head at the end of the bench. Hold a dumbbell with both hands and extend your arms straight up above your chest, palms facing each other. Keeping your upper arms stationary, slowly lower the dumbbell in an arc behind your head until your forearms are parallel to the ground. Pause for a moment, then contract your triceps to bring the dumbbell back to the starting position. Repeat for the desired number of repetitions.",平躺在长椅上，双脚平放在地面，头放在长凳末端。双手握住哑铃，双臂直伸至胸前，掌心相对。保持上臂静止，慢慢将哑铃以弧形向下放到头后，直到前臂与地面平行。暂停片刻，然后收紧肱三头肌，将哑铃拉回起始位置。重复到所需的重复次数。,
"Lie flat on a bench with a dumbbell in each hand, palms facing each other and arms extended straight up over your chest. Lower the dumbbells towards your shoulders by bending your elbows, keeping your upper arms stationary. Pause for a moment at the bottom, then press the dumbbells back up to the starting position by extending your elbows. Repeat for the desired number of repetitions.",平躺在长椅上，双手各拿一个哑铃，手掌相对，双臂直伸过胸前。通过弯曲肘部，保持上臂静止，将哑铃向肩膀方向降低。在底部暂停片刻，然后伸展肘部将哑铃按回起始位置。重复到所需的重复次数。,
"Lie face down on a flat bench with a dumbbell in one hand, palm facing inwards. Extend your arm straight down towards the floor, keeping it close to your body. Raise your arm up and back, squeezing your shoulder blade towards your spine. Pause for a moment at the top, then slowly lower your arm back down to the starting position. Repeat for the desired number of repetitions, then switch arms.",趴在平坦的长凳上，一手拿着哑铃，手掌朝内。将手臂直伸向地面，保持靠近身体。抬起手臂，向后收紧肩胛骨向脊柱。在顶端稍作停顿，然后慢慢将手臂放下回到起始位置。重复到所需次数，然后换手臂。,
"Lie flat on a bench with your back supported and feet flat on the ground. Hold a dumbbell in one hand with your palm facing towards your feet. Extend your arm straight up towards the ceiling, keeping your elbow slightly bent. Slowly lower the dumbbell down towards your chest, keeping your elbow close to your body. Pause for a moment at the bottom, then push the dumbbell back up to the starting position. Repeat for the desired number of repetitions, then switch to the other arm.",平躺在长椅上，背部支撑，双脚平放在地上。一只手握着哑铃，手掌朝向脚下。手臂直伸向天花板，肘部微微弯曲。慢慢将哑铃放下，靠近胸部，保持肘部靠近身体。在底部稍作停顿，然后将哑铃推回起始位置。重复到所需次数，然后切换到另一只手臂。,
"Lie flat on a bench with your back and head supported, and your feet flat on the ground. Hold a dumbbell in one hand with your palm facing down, and extend your arm straight up above your shoulder. Keeping your upper arm stationary, slowly lower the dumbbell behind your head by bending your elbow. Pause for a moment at the bottom, then extend your arm back up to the starting position. Repeat for the desired number of repetitions, then switch arms.",平躺在长椅上，背部和头部支撑，双脚平放在地上。一只手握着哑铃，手掌朝下，手臂直伸过肩膀。保持上臂不动，慢慢将哑铃放到头后，弯曲肘部。在底部暂停片刻，然后把手臂伸回起始位置。重复到所需次数，然后换手臂。,
"Lie flat on a bench with your back and head supported, and your feet flat on the ground. Hold a dumbbell in one hand with an underhand grip, and extend your arm straight up above your shoulder. Keeping your upper arm stationary, slowly lower the dumbbell behind your head by bending your elbow. Pause for a moment at the bottom, then extend your arm back up to the starting position. Repeat for the desired number of repetitions, then switch arms.",平躺在长椅上，背部和头部支撑，双脚平放在地上。一只手握哑铃，下手握法，手臂直直向上伸过肩膀。保持上臂不动，慢慢将哑铃放到头后，弯曲肘部。在底部暂停片刻，然后把手臂伸回起始位置。重复到所需次数，然后换手臂。,
